"","GMUID","Bulls","Cows","Calves","Harvest","Hunters","Success","Days","Season","Year","Percent_Bulls","Percent_Cows","Percent_Calves","Percent_Days"
"71","131",NA,NA,NA,64,218,NA,NA,3,2015,0.411,0.525,0.076,3.719
"72","131",NA,NA,NA,30,72,NA,NA,4,2015,0.374,0.55,0.191,3.404
"73","231",NA,NA,NA,70,332,NA,NA,1,2015,0.366,0.513,0.061,4.478
"74","231",NA,NA,NA,44,267,NA,NA,2,2015,0.343,0.539,0.057,4.808
"75","231",NA,NA,NA,27,191,NA,NA,3,2015,0.369,0.532,0.034,4.583
"76","231",NA,NA,NA,24,172,NA,NA,4,2015,0.378,0.512,0.029,4
"77","14",NA,NA,NA,41,314,NA,NA,1,2015,0.767,0.148,0.016,4.07
"78","14",NA,NA,NA,57,612,NA,NA,2,2015,0.645,0.262,0.017,4.481
"79","14",NA,NA,NA,49,449,NA,NA,3,2015,0.541,0.362,0.012,4.464
"80","14",NA,NA,NA,32,174,NA,NA,4,2015,0.645,0.293,0.009,4.036
"81","214",NA,NA,NA,32,87,NA,NA,1,2015,0.64,0.336,0.01,3.552
"82","214",NA,NA,NA,51,266,NA,NA,2,2015,0.616,0.362,0.022,3.726
"83","214",NA,NA,NA,31,94,NA,NA,3,2015,0.607,0.382,0.022,3.754
"84","214",NA,NA,NA,33,70,NA,NA,4,2015,0.591,0.396,0.011,3.632
"85","15",NA,NA,NA,79,518,NA,NA,1,2015,0.402,0.451,0.062,3.579
"86","15",NA,NA,NA,87,880,NA,NA,2,2015,0.441,0.428,0.05,4.467
"87","15",NA,NA,NA,73,843,NA,NA,3,2015,0.666,0.415,0.045,4.495
"88","15",NA,NA,NA,41,406,NA,NA,4,2015,0.712,0.432,0.042,3.157
"89","16",NA,NA,NA,43,256,NA,NA,1,2015,0.381,0.516,0.085,3.41
"90","16",NA,NA,NA,41,299,NA,NA,2,2015,0.345,0.634,0.096,4.046
"91","16",NA,NA,NA,34,265,NA,NA,3,2015,0.301,0.429,0.098,4.007
"92","16",NA,NA,NA,32,160,NA,NA,4,2015,0.214,0.454,0.109,3.362
"93","161",NA,NA,NA,46,404,NA,NA,1,2015,0.394,0.262,0.11,3.824
"94","161",NA,NA,NA,41,592,NA,NA,2,2015,0.502,0.029,0.104,4.602
"95","161",NA,NA,NA,34,444,NA,NA,3,2015,0.518,0.207,0.103,4.748
"96","161",NA,NA,NA,33,197,NA,NA,4,2015,0.41,0.682,0.093,3.902
"97","17",NA,NA,NA,45,320,NA,NA,1,2015,0.446,0.495,0.008,4.048
"98","17",NA,NA,NA,53,330,NA,NA,2,2015,0.418,0.477,0.013,4.725
"99","17",NA,NA,NA,52,329,NA,NA,3,2015,0.409,0.492,0.015,4.596
"100","17",NA,NA,NA,41,211,NA,NA,4,2015,0.407,0.515,0.01,3.476
"101","171",NA,NA,NA,74,321,NA,NA,1,2015,0.493,0.388,0.015,2.876
"102","171",NA,NA,NA,97,382,NA,NA,2,2015,0.522,0.356,0.028,3.475
