"","GMUID","Bulls","Cows","Calves","Harvest","Hunters","Success","Days","Season","Year","Percent_Bulls","Percent_Cows","Percent_Calves","Percent_Days"
"307","53",NA,NA,NA,44,302,NA,NA,3,2015,0.422,0.588,0.014,4.457
"308","53",NA,NA,NA,34,146,NA,NA,4,2015,0.335,0.815,0.01,4.066
"309","54",NA,NA,NA,20,491,NA,NA,1,2015,0.275,0.775,0.058,3.988
"310","54",NA,NA,NA,21,583,NA,NA,2,2015,0.752,0.055,0.047,5.252
"311","54",NA,NA,NA,26,773,NA,NA,3,2015,0.793,0.021,0.044,5.205
"312","54",NA,NA,NA,18,398,NA,NA,4,2015,0.507,0.517,0.047,4.116
"313","55",NA,NA,NA,94,584,NA,NA,1,2015,0.456,0.404,0.129,4.072
"314","55",NA,NA,NA,117,1022,NA,NA,2,2015,0.541,0.378,0.099,5.013
"315","55",NA,NA,NA,95,811,NA,NA,3,2015,0.443,0.484,0.052,4.96
"316","55",NA,NA,NA,58,295,NA,NA,4,2015,0.488,0.543,0.003,3.988
"317","551",NA,NA,NA,51,189,NA,NA,1,2015,0.552,0.254,0.097,3.707
"318","551",NA,NA,NA,62,375,NA,NA,2,2015,0.549,0.266,0.092,4.647
"319","551",NA,NA,NA,65,352,NA,NA,3,2015,0.388,0.483,0.098,4.747
"320","551",NA,NA,NA,43,112,NA,NA,4,2015,0.229,0.731,0.102,4.017
"321","56",NA,NA,NA,15,17,NA,NA,1,2015,0.926,0.024,0.003,3.567
"322","56",NA,NA,NA,15,48,NA,NA,2,2015,0.856,0.082,0.005,5.233
"323","56",NA,NA,NA,15,33,NA,NA,3,2015,0.506,0.413,0.009,5.466
"324","56",NA,NA,NA,14,0,NA,NA,4,2015,0.355,0.616,0.01,4.218
"325","561",NA,NA,NA,15,33,NA,NA,1,2015,0.821,0.155,0.009,3.5
"326","561",NA,NA,NA,12,40,NA,NA,2,2015,0.631,0.24,0.014,3.893
"327","561",NA,NA,NA,8,44,NA,NA,3,2015,0.26,0.698,0.01,4.187
"328","561",NA,NA,NA,8,37,NA,NA,4,2015,0.343,0.653,0.005,3.84
"329","57",NA,NA,NA,33,88,NA,NA,1,2015,0.594,0.374,0.018,3.806
"330","57",NA,NA,NA,29,114,NA,NA,2,2015,0.572,0.387,0.011,4.414
"331","57",NA,NA,NA,36,127,NA,NA,3,2015,0.528,0.407,0.018,4.424
"332","57",NA,NA,NA,30,88,NA,NA,4,2015,0.517,0.383,0.036,3.771
"333","58",NA,NA,NA,20,75,NA,NA,1,2015,0.737,0.277,0.006,3.629
"334","58",NA,NA,NA,20,75,NA,NA,2,2015,0.724,0.316,0.005,3.904
"335","58",NA,NA,NA,20,77,NA,NA,3,2015,0.659,0.431,0.007,3.593
"336","58",NA,NA,NA,21,79,NA,NA,4,2015,0.625,0.42,0.012,3.145
"337","581",NA,NA,NA,37,122,NA,NA,1,2015,0.707,0.202,0.016,3.82
"338","581",NA,NA,NA,50,275,NA,NA,2,2015,0.719,0.198,0.013,4.033
"339","581",NA,NA,NA,43,249,NA,NA,3,2015,0.736,0.209,0.008,3.953
"340","581",NA,NA,NA,17,104,NA,NA,4,2015,0.735,0.225,0.005,3.8
"341","59",NA,NA,NA,21,143,NA,NA,1,2015,0.218,0.313,0.008,3.494
"342","59",NA,NA,NA,18,178,NA,NA,2,2015,0.335,0.241,0.004,4.067
"343","59",NA,NA,NA,11,122,NA,NA,3,2015,0.109,0.209,0.003,3.944
"344","59",NA,NA,NA,7,112,NA,NA,4,2015,0.755,0.159,0.004,3.15
"345","60",NA,NA,NA,13,46,NA,NA,1,2015,0.945,0.02,0.009,3.831
"346","60",NA,NA,NA,14,81,NA,NA,2,2015,0.951,0.009,0.009,4.466
"347","60",NA,NA,NA,11,83,NA,NA,3,2015,0.945,-0.006,0.01,4.342
"348","60",NA,NA,NA,10,47,NA,NA,4,2015,0.841,-0.002,0.019,4.524
"349","61",NA,NA,NA,115,251,NA,NA,1,2015,0.494,0.551,0.041,3.831
"350","61",NA,NA,NA,154,408,NA,NA,2,2015,0.31,0.626,0.046,4.803
"351","61",NA,NA,NA,131,260,NA,NA,3,2015,0.22,0.676,0.05,4.779
"352","61",NA,NA,NA,124,175,NA,NA,4,2015,0.227,0.675,0.049,3.654
"353","62",NA,NA,NA,180,775,NA,NA,1,2015,0.495,0.536,0.039,4.308
"354","62",NA,NA,NA,215,1459,NA,NA,2,2015,0.567,0.446,0.039,5.565
"355","62",NA,NA,NA,185,888,NA,NA,3,2015,0.438,0.515,0.037,5.225
"356","62",NA,NA,NA,127,509,NA,NA,4,2015,0.309,0.631,0.049,3.483
"357","63",NA,NA,NA,45,164,NA,NA,1,2015,0.512,0.489,0.008,3.902
"358","63",NA,NA,NA,43,233,NA,NA,2,2015,0.451,0.507,0.005,4.642
"359","63",NA,NA,NA,37,199,NA,NA,3,2015,0.335,0.665,-0.015,4.649
"360","63",NA,NA,NA,34,108,NA,NA,4,2015,0.264,0.756,-0.02,3.967
"361","64",NA,NA,NA,69,209,NA,NA,1,2015,0.784,0.208,0.022,3.911
"362","64",NA,NA,NA,60,208,NA,NA,2,2015,0.846,0.224,0.011,4.111
"363","64",NA,NA,NA,41,162,NA,NA,3,2015,0.882,0.339,0.003,4.188
"364","64",NA,NA,NA,28,97,NA,NA,4,2015,0.65,0.484,0.006,3.843
"365","65",NA,NA,NA,95,351,NA,NA,1,2015,0.333,0.477,0.078,4.136
"366","65",NA,NA,NA,87,386,NA,NA,2,2015,0.471,0.362,0.034,4.899
"367","65",NA,NA,NA,61,305,NA,NA,3,2015,0.425,0.308,-0.023,4.391
"368","65",NA,NA,NA,38,176,NA,NA,4,2015,-0.145,0.399,-0.037,3.199
"369","66",NA,NA,NA,108,313,NA,NA,1,2015,0.559,0.369,0.025,3.831
"370","66",NA,NA,NA,100,318,NA,NA,2,2015,0.464,0.41,0.012,4.828
"371","66",NA,NA,NA,95,261,NA,NA,3,2015,0.442,0.459,0.016,4.94
"372","66",NA,NA,NA,95,176,NA,NA,4,2015,0.411,0.482,0.03,3.965
"373","67",NA,NA,NA,56,319,NA,NA,1,2015,0.571,0.393,0.042,4.41
"374","67",NA,NA,NA,53,328,NA,NA,2,2015,0.553,0.42,0.044,5.716
"375","67",NA,NA,NA,48,287,NA,NA,3,2015,0.452,0.548,0.036,5.586
"376","67",NA,NA,NA,43,262,NA,NA,4,2015,0.406,0.581,0.032,4.562
"377","68",NA,NA,NA,36,343,NA,NA,1,2015,0.811,0.155,0.008,4.308
"378","68",NA,NA,NA,33,540,NA,NA,2,2015,0.727,0.226,-0.006,5.114
"379","68",NA,NA,NA,27,508,NA,NA,3,2015,0.728,0.194,-0.005,4.829
"380","68",NA,NA,NA,25,218,NA,NA,4,2015,0.705,0.249,0.01,4.276
"381","681",NA,NA,NA,14,157,NA,NA,1,2015,0.89,0.062,0.022,3.173
"382","681",NA,NA,NA,23,330,NA,NA,2,2015,0.765,0.159,0.066,4.606
"383","681",NA,NA,NA,23,293,NA,NA,3,2015,0.589,0.327,0.087,4.924
"384","681",NA,NA,NA,25,176,NA,NA,4,2015,0.657,0.259,0.071,3.955
"385","69",NA,NA,NA,11,57,NA,NA,1,2015,0.854,0.069,0.008,3.539
"386","69",NA,NA,NA,11,67,NA,NA,2,2015,0.763,0.091,0.011,3.806
"387","69",NA,NA,NA,10,44,NA,NA,3,2015,0.71,0.169,0.008,3.937
"388","69",NA,NA,NA,9,46,NA,NA,4,2015,0.743,0.201,0.005,3.808
"389","691",NA,NA,NA,1,10,NA,NA,1,2015,0.984,0.016,0,3.359
"390","691",NA,NA,NA,0,16,NA,NA,2,2015,0.982,0.019,0,3.957
"391","691",NA,NA,NA,0,13,NA,NA,3,2015,0.977,0.023,0,3.413
"392","691",NA,NA,NA,1,1,NA,NA,4,2015,0.976,0.024,0,2.397
"393","70",NA,NA,NA,246,681,NA,NA,1,2015,0.563,0.387,0.043,4.176
"394","70",NA,NA,NA,282,900,NA,NA,2,2015,0.51,0.523,0.042,5.055
"395","70",NA,NA,NA,301,852,NA,NA,3,2015,0.757,0.398,0.041,5.124
"396","70",NA,NA,NA,139,463,NA,NA,4,2015,0.637,0.472,0.041,4.159
"397","71",NA,NA,NA,72,414,NA,NA,1,2015,0.462,0.498,0.02,3.936
"398","71",NA,NA,NA,131,667,NA,NA,2,2015,0.607,0.399,0.025,4.891
"399","71",NA,NA,NA,101,484,NA,NA,3,2015,0.56,0.403,0.023,4.521
"400","71",NA,NA,NA,49,150,NA,NA,4,2015,0.196,0.747,0.017,3.374
"401","711",NA,NA,NA,78,216,NA,NA,1,2015,0.62,0.424,0.012,3.896
"402","711",NA,NA,NA,80,363,NA,NA,2,2015,0.642,0.398,0.014,4.942
"403","711",NA,NA,NA,77,544,NA,NA,3,2015,0.279,0.585,0.027,5.458
"404","711",NA,NA,NA,74,265,NA,NA,4,2015,0.14,0.73,0.03,4.557
"405","72",NA,NA,NA,32,103,NA,NA,1,2015,0.67,0.202,0.007,3.63
"406","72",NA,NA,NA,36,181,NA,NA,2,2015,0.735,0.183,0.007,3.794
"407","72",NA,NA,NA,12,136,NA,NA,3,2015,0.754,0.169,0.005,3.799
"408","72",NA,NA,NA,12,64,NA,NA,4,2015,0.671,0.189,0.006,3.673
"409","73",NA,NA,NA,28,180,NA,NA,1,2015,0.595,0.395,0.009,4.458
"410","73",NA,NA,NA,38,281,NA,NA,2,2015,0.648,0.364,0.003,5.71
"411","73",NA,NA,NA,29,234,NA,NA,3,2015,0.614,0.372,0.004,4.316
"412","73",NA,NA,NA,11,64,NA,NA,4,2015,0.526,0.407,0.012,2.206
"413","74",NA,NA,NA,41,302,NA,NA,1,2015,0.734,0.282,0.021,4.503
"414","74",NA,NA,NA,66,358,NA,NA,2,2015,0.804,0.22,0.028,5.697
"415","74",NA,NA,NA,50,265,NA,NA,3,2015,0.784,0.18,0.029,5.027
"416","74",NA,NA,NA,19,130,NA,NA,4,2015,0.89,0.119,0.02,4.429
"417","741",NA,NA,NA,10,35,NA,NA,1,2015,0.785,0.218,0.006,4.715
"418","741",NA,NA,NA,9,69,NA,NA,2,2015,0.791,0.213,0.006,5.339
"419","741",NA,NA,NA,5,69,NA,NA,3,2015,0.785,0.219,0.006,4.99
"420","741",NA,NA,NA,2,32,NA,NA,4,2015,0.779,0.224,0.005,3.952
"421","75",NA,NA,NA,81,341,NA,NA,1,2015,0.554,0.343,0.059,4.332
"422","75",NA,NA,NA,74,363,NA,NA,2,2015,0.582,0.308,0.047,5.258
"423","75",NA,NA,NA,57,311,NA,NA,3,2015,0.579,0.31,0.038,5.014
"424","75",NA,NA,NA,45,194,NA,NA,4,2015,0.555,0.343,0.04,3.949
"425","751",NA,NA,NA,41,231,NA,NA,1,2015,0.532,0.444,0.006,3.875
"426","751",NA,NA,NA,41,279,NA,NA,2,2015,0.538,0.396,0.026,4.361
"427","751",NA,NA,NA,35,282,NA,NA,3,2015,0.419,0.46,0.057,4.368
"428","751",NA,NA,NA,29,139,NA,NA,4,2015,0.292,0.551,0.059,3.928
"429","76",NA,NA,NA,67,189,NA,NA,1,2015,0.796,0.136,0.017,4.105
"430","76",NA,NA,NA,59,184,NA,NA,2,2015,0.586,0.433,0.023,4.252
"431","76",NA,NA,NA,57,170,NA,NA,3,2015,0.506,0.64,0.033,4.413
"432","76",NA,NA,NA,60,206,NA,NA,4,2015,0.226,0.851,0.033,3.91
"433","77",NA,NA,NA,91,548,NA,NA,1,2015,0.616,0.334,0.046,4.171
"434","77",NA,NA,NA,62,904,NA,NA,2,2015,0.722,0.254,0.035,5.261
"435","77",NA,NA,NA,51,749,NA,NA,3,2015,0.694,0.299,0.024,4.844
"436","77",NA,NA,NA,46,149,NA,NA,4,2015,0.574,0.413,0.022,3.653
"437","771",NA,NA,NA,13,66,NA,NA,1,2015,0.824,0.122,0.012,3.773
"438","771",NA,NA,NA,14,160,NA,NA,2,2015,0.84,0.093,0.018,4.265
"439","771",NA,NA,NA,13,184,NA,NA,3,2015,0.768,0.084,0.029,4.425
"440","771",NA,NA,NA,10,58,NA,NA,4,2015,0.654,0.132,0.029,4.049
"441","78",NA,NA,NA,57,320,NA,NA,1,2015,0.629,0.377,0.001,3.258
"442","78",NA,NA,NA,80,549,NA,NA,2,2015,0.921,0.064,0,4.418
"443","78",NA,NA,NA,63,538,NA,NA,3,2015,0.864,0.126,0.002,4.436
"444","78",NA,NA,NA,40,223,NA,NA,4,2015,0.527,0.466,0.002,3.482
"445","79",NA,NA,NA,3,159,NA,NA,1,2015,0.644,-0.719,0.017,4.251
"446","79",NA,NA,NA,2,146,NA,NA,2,2015,0.65,-0.188,0.013,4.872
"447","79",NA,NA,NA,3,135,NA,NA,3,2015,0.593,1.075,0.013,5.311
"448","79",NA,NA,NA,4,103,NA,NA,4,2015,0.579,0.845,0.021,4.026
"449","80",NA,NA,NA,46,277,NA,NA,1,2015,0.94,0.031,0.007,4.106
"450","80",NA,NA,NA,54,444,NA,NA,2,2015,0.963,-0.006,0.007,4.788
"451","80",NA,NA,NA,43,444,NA,NA,3,2015,0.935,0.057,0.009,4.69
"452","80",NA,NA,NA,37,288,NA,NA,4,2015,0.844,0.34,0.014,3.941
"453","81",NA,NA,NA,124,509,NA,NA,1,2015,0.928,0.041,0.002,4.016
"454","81",NA,NA,NA,100,745,NA,NA,2,2015,0.949,0.051,0.001,5.153
"455","81",NA,NA,NA,53,535,NA,NA,3,2015,0.885,0.093,0.002,4.752
"456","81",NA,NA,NA,37,329,NA,NA,4,2015,0.76,0.131,0.003,4.01
"457","82",NA,NA,NA,47,325,NA,NA,1,2015,0.664,0.3,0.004,3.867
"458","82",NA,NA,NA,52,456,NA,NA,2,2015,0.68,0.288,0,4.011
"459","82",NA,NA,NA,42,388,NA,NA,3,2015,0.673,0.296,0.005,3.872
"460","82",NA,NA,NA,36,145,NA,NA,4,2015,0.633,0.329,0.014,3.756
"461","83",NA,NA,NA,27,129,NA,NA,1,2015,0.832,0.193,0.025,3.542
"462","83",NA,NA,NA,36,287,NA,NA,2,2015,0.839,0.097,0.009,4.223
"463","83",NA,NA,NA,42,302,NA,NA,3,2015,0.623,0.289,0.012,4.509
"464","83",NA,NA,NA,40,141,NA,NA,4,2015,0.284,0.486,0.067,3.995
"465","84",NA,NA,NA,16,30,NA,NA,1,2015,0.929,0.153,0,3.47
"466","84",NA,NA,NA,17,46,NA,NA,2,2015,0.692,0.318,0.001,4.147
"467","84",NA,NA,NA,17,67,NA,NA,3,2015,0.683,0.32,0.002,4.134
"468","84",NA,NA,NA,16,38,NA,NA,4,2015,0.898,0.169,0.001,3.347
"469","85",NA,NA,NA,86,345,NA,NA,1,2015,1.137,0.081,0.011,3.847
"470","85",NA,NA,NA,15,530,NA,NA,2,2015,1.13,0.089,0.011,4.905
"471","85",NA,NA,NA,30,324,NA,NA,3,2015,1.007,0.1,0.016,4.241
"472","85",NA,NA,NA,56,129,NA,NA,4,2015,0.707,0.275,0.022,3.402
"473","851",NA,NA,NA,18,44,NA,NA,1,2015,0.994,0.004,0,3.536
"474","851",NA,NA,NA,17,64,NA,NA,2,2015,0.995,0.001,0,4.542
"475","851",NA,NA,NA,15,77,NA,NA,3,2015,0.996,-0.001,0,4.63
"476","851",NA,NA,NA,15,30,NA,NA,4,2015,0.996,-0.001,0,3.51
"477","86",NA,NA,NA,11,178,NA,NA,1,2015,0.814,0.117,0.009,4.11
"478","86",NA,NA,NA,3,447,NA,NA,2,2015,0.848,0.123,0.004,4.578
"479","86",NA,NA,NA,-3,318,NA,NA,3,2015,0.973,0.087,0.003,4.451
"480","86",NA,NA,NA,0,144,NA,NA,4,2015,1.088,0.064,0.004,3.686
"481","861",NA,NA,NA,6,42,NA,NA,1,2015,0.945,0.028,0.007,3.867
"482","861",NA,NA,NA,5,56,NA,NA,2,2015,0.953,0.029,0.007,3.964
"483","861",NA,NA,NA,6,57,NA,NA,3,2015,0.894,0.046,0.007,3.857
"484","861",NA,NA,NA,7,40,NA,NA,4,2015,0.834,0.065,0.007,3.548
"485","104",NA,NA,NA,5,17,NA,NA,1,2015,1,0,0,3.187
"486","104",NA,NA,NA,3,14,NA,NA,2,2015,1,0,0,3.139
"487","104",NA,NA,NA,1,12,NA,NA,3,2015,1,0,0,3.125
"488","104",NA,NA,NA,3,12,NA,NA,4,2015,1,0,0,3.141
"489","140",NA,NA,NA,14,39,NA,NA,1,2015,0.979,0.016,0,3.674
"490","140",NA,NA,NA,14,45,NA,NA,2,2015,0.977,0.018,0,3.632
"491","140",NA,NA,NA,10,30,NA,NA,3,2015,0.977,0.018,0,3.67
"492","140",NA,NA,NA,6,20,NA,NA,4,2015,0.979,0.017,0,3.347
"493","591",NA,NA,NA,-14,84,NA,NA,2,2015,0.992,0.02,0,3.472
"494","591",NA,NA,NA,-8,106,NA,NA,3,2015,0.988,0.02,0,3.504
"495","591",NA,NA,NA,-10,61,NA,NA,1,2015,0.986,0.022,0,3.375
"496","133",NA,NA,NA,1,8,NA,NA,2,2015,1,0,0,0.736
"497","133",NA,NA,NA,1,7,NA,NA,4,2015,1,0,0,3.227
"498","133",NA,NA,NA,1,7,NA,NA,3,2015,1,0,0,2.074
"499","133",NA,NA,NA,1,7,NA,NA,1,2015,1,0,0,1.448
"500","134",NA,NA,NA,8,5,NA,NA,2,2015,1,0,0,3.46
"501","134",NA,NA,NA,16,6,NA,NA,3,2015,1,0,0,3.153
"502","134",NA,NA,NA,-5,5,NA,NA,4,2015,1,0,0,2.989
"503","141",NA,NA,NA,0,5,NA,NA,2,2015,1,0,0,3.537
"504","141",NA,NA,NA,0,6,NA,NA,3,2015,1,0,0,3.484
"505","141",NA,NA,NA,0,5,NA,NA,4,2015,1,0,0,3.45
"506","141",NA,NA,NA,0,5,NA,NA,1,2015,1,0,0,3.493
"507","142",NA,NA,NA,8,53,NA,NA,2,2015,1,0,0,3.996
"508","142",NA,NA,NA,4,31,NA,NA,3,2015,1,0,0,3.969
"509","142",NA,NA,NA,3,18,NA,NA,4,2015,1,0,0,4.034
