"Year","Unit","Season","Hunters","Quota","Drawn"
2016,"140","1",3,0,0
2016,"140","2",47,0,0
2016,"140","3",61,0,0
2016,"140","4",13,0,0
2016,"141","2",25,0,0
2016,"141","3",4,0,0
2016,"141","4",3,0,0
2016,"142","2",11,0,0
2016,"142","3",29,0,0
2016,"142","4",15,0,0
2016,"15","1",390,475,365
2016,"15","2",1244,1200,355
2016,"15","3",899,1200,355
2016,"15","4",219,1350,505
2016,"16","1",222,0,0
2016,"16","2",435,0,0
2016,"16","3",329,160,30
2016,"16","4",127,155,50
2016,"161","1",266,0,0
2016,"161","2",336,0,0
2016,"161","3",170,260,102
2016,"161","4",47,250,134
2016,"17","1",297,0,0
2016,"17","2",524,0,0
2016,"17","3",495,340,141
2016,"17","4",144,250,70
2016,"171","1",282,0,0
2016,"171","2",611,0,0
2016,"171","3",361,0,0
2016,"171","4",150,60,39
2016,"18","1",1010,1320,936
2016,"18","2",1096,455,402
2016,"18","3",1204,575,410
2016,"18","4",981,1380,350
2016,"181","1",182,0,0
2016,"181","2",361,190,63
2016,"181","3",336,240,43
2016,"181","4",226,190,13
2016,"19","1",97,110,110
2016,"19","2",364,710,242
2016,"19","3",196,710,242
2016,"19","4",65,710,242
2016,"191","1",35,50,50
2016,"191","2",164,470,96
2016,"191","3",171,470,96
2016,"191","4",81,470,96
2016,"2","1",28,30,30
2016,"2","2",21,25,25
2016,"2","3",31,35,35
2016,"2","4",20,25,25
2016,"20","1",19,20,20
2016,"20","2",39,50,50
2016,"20","3",37,40,40
2016,"20","4",28,40,40
2016,"201","1",31,30,30
2016,"201","2",52,55,55
2016,"201","3",27,30,30
2016,"201","4",31,40,40
2016,"21","1",316,1000,623
2016,"21","2",632,350,223
2016,"21","3",526,350,229
2016,"21","4",178,535,286
2016,"211","1",198,0,0
2016,"211","2",521,0,0
2016,"211","3",792,0,0
2016,"211","4",432,0,0
2016,"214","1",72,0,0
2016,"214","2",594,500,109
2016,"214","3",204,500,109
2016,"214","4",43,550,120
2016,"22","1",217,0,0
2016,"22","2",675,400,198
2016,"22","3",648,400,198
2016,"22","4",181,100,74
2016,"23","1",841,0,0
2016,"23","2",1138,0,0
2016,"23","3",1015,0,0
2016,"23","4",429,0,0
2016,"231","1",380,0,0
2016,"231","2",403,250,161
2016,"231","3",195,250,161
2016,"231","4",35,310,171
2016,"24","1",963,0,0
2016,"24","2",1179,0,0
2016,"24","3",451,0,0
2016,"24","4",166,0,0
2016,"25","1",218,0,0
2016,"25","2",361,200,111
2016,"25","3",233,200,111
2016,"25","4",47,240,151
2016,"26","1",191,0,0
2016,"26","2",350,0,0
2016,"26","3",244,0,0
2016,"26","4",75,100,43
2016,"27","1",158,190,119
2016,"27","2",442,260,127
2016,"27","3",296,185,40
2016,"27","4",112,135,40
2016,"28","1",587,880,880
2016,"28","2",898,330,330
2016,"28","3",815,440,440
2016,"28","4",424,770,394
2016,"29","1",18,20,20
2016,"29","2",26,85,28
2016,"29","3",28,85,28
2016,"29","4",17,85,28
2016,"3","1",261,1900,1900
2016,"3","2",447,1000,227
2016,"3","3",1197,1000,227
2016,"3","4",858,1300,959
2016,"30","1",60,0,0
2016,"30","2",229,0,0
2016,"30","3",312,0,0
2016,"30","4",189,0,0
2016,"301","1",78,0,0
2016,"301","2",313,0,0
2016,"301","3",684,0,0
2016,"301","4",364,0,0
2016,"31","1",149,0,0
2016,"31","2",320,500,37
2016,"31","3",379,500,37
2016,"31","4",199,500,37
2016,"32","1",66,0,0
2016,"32","2",254,300,15
2016,"32","3",195,300,15
2016,"32","4",60,300,15
2016,"33","1",536,0,0
2016,"33","2",956,950,259
2016,"33","3",541,950,259
2016,"33","4",170,1065,289
2016,"34","1",191,0,0
2016,"34","2",399,200,124
2016,"34","3",184,200,124
2016,"34","4",30,235,133
2016,"35","1",196,400,400
2016,"35","2",262,190,83
2016,"35","3",330,190,83
2016,"35","4",37,230,123
2016,"36","1",146,0,0
2016,"36","2",534,305,190
2016,"36","3",310,305,190
2016,"36","4",26,345,230
2016,"361","1",32,0,0
2016,"361","2",73,0,0
2016,"361","3",133,0,0
2016,"361","4",11,0,0
2016,"37","1",193,0,0
2016,"37","2",431,0,0
2016,"37","3",425,0,0
2016,"37","4",228,0,0
2016,"371","1",234,265,183
2016,"371","2",204,75,50
2016,"371","3",173,130,30
2016,"371","4",197,225,45
2016,"38","1",53,55,55
2016,"38","2",325,60,33
2016,"38","3",153,60,33
2016,"38","4",39,90,63
2016,"39","1",72,80,80
2016,"39","2",103,170,125
2016,"39","3",74,170,125
2016,"39","4",22,140,95
2016,"391","1",12,60,12
2016,"391","2",7,60,12
2016,"391","3",16,60,12
2016,"391","4",6,60,12
2016,"4","1",822,0,0
2016,"4","2",1371,800,508
2016,"4","3",1005,800,508
2016,"4","4",502,350,156
2016,"40","1",63,75,75
2016,"40","2",66,68,68
2016,"40","3",60,68,68
2016,"40","4",56,65,65
2016,"41","1",445,2100,1938
2016,"41","2",430,600,130
2016,"41","3",402,600,130
2016,"41","4",153,1000,238
2016,"411","1",88,0,0
2016,"411","2",204,100,48
2016,"411","3",198,100,30
2016,"411","4",43,100,30
2016,"42","1",332,0,0
2016,"42","2",1254,650,266
2016,"42","3",1024,900,194
2016,"42","4",268,900,194
2016,"421","1",441,0,0
2016,"421","2",1243,1100,286
2016,"421","3",592,1100,286
2016,"421","4",137,1100,286
2016,"43","1",222,260,260
2016,"43","2",759,650,218
2016,"43","3",588,650,218
2016,"43","4",130,725,293
2016,"44","1",143,370,370
2016,"44","2",320,65,39
2016,"44","3",284,65,39
2016,"44","4",88,160,134
2016,"441","1",198,0,0
2016,"441","2",481,0,0
2016,"441","3",306,0,0
2016,"441","4",140,0,0
2016,"444","1",64,0,0
2016,"444","2",381,215,119
2016,"444","3",282,215,119
2016,"444","4",67,285,177
2016,"45","1",90,0,0
2016,"45","2",337,85,38
2016,"45","3",257,85,38
2016,"45","4",62,150,103
2016,"46","1",35,45,45
2016,"46","2",61,120,67
2016,"46","3",36,120,67
2016,"46","4",10,120,67
2016,"461","1",11,100,10
2016,"461","2",13,100,10
2016,"461","3",13,100,10
2016,"461","4",4,100,10
2016,"47","1",60,0,0
2016,"47","2",206,115,75
2016,"47","3",156,115,75
2016,"47","4",23,145,105
2016,"471","1",27,0,0
2016,"471","2",105,60,5
2016,"471","3",35,60,5
2016,"471","4",23,85,6
2016,"48","1",64,70,70
2016,"48","2",131,190,137
2016,"48","3",46,190,137
2016,"48","4",39,140,119
2016,"481","1",63,70,70
2016,"481","2",212,375,221
2016,"481","3",109,375,221
2016,"481","4",28,375,221
2016,"49","1",75,80,80
2016,"49","2",219,240,194
2016,"49","3",183,240,194
2016,"49","4",135,240,194
2016,"5","1",371,0,0
2016,"5","2",542,100,68
2016,"5","3",244,100,68
2016,"5","4",74,10,10
2016,"50","1",42,50,50
2016,"50","2",185,600,215
2016,"50","3",248,600,215
2016,"50","4",104,600,215
2016,"500","1",97,100,100
2016,"500","2",299,480,324
2016,"500","3",118,480,324
2016,"500","4",24,480,324
2016,"501","1",34,35,35
2016,"501","2",153,320,169
2016,"501","3",92,320,169
2016,"501","4",44,320,169
2016,"51","1",52,70,70
2016,"51","2",79,200,87
2016,"51","3",56,200,87
2016,"51","4",24,200,87
2016,"511","1",99,105,105
2016,"511","2",495,100,58
2016,"511","3",417,100,58
2016,"511","4",86,200,114
2016,"52","1",136,0,0
2016,"52","2",559,325,150
2016,"52","3",387,225,67
2016,"52","4",55,225,67
2016,"521","1",518,0,0
2016,"521","2",1326,700,187
2016,"521","3",601,700,187
2016,"521","4",207,700,187
2016,"53","1",337,500,484
2016,"53","2",444,120,120
2016,"53","3",316,150,60
2016,"53","4",69,75,49
2016,"54","1",402,435,417
2016,"54","2",497,120,120
2016,"54","3",623,70,70
2016,"54","4",182,220,177
2016,"55","1",565,605,605
2016,"55","2",1322,305,305
2016,"55","3",1138,375,375
2016,"55","4",151,175,175
2016,"551","1",173,190,190
2016,"551","2",685,240,240
2016,"551","3",591,250,250
2016,"551","4",64,70,70
2016,"56","1",43,50,50
2016,"56","2",91,100,100
2016,"56","3",97,100,100
2016,"56","4",47,55,55
2016,"561","1",27,30,30
2016,"561","2",47,60,60
2016,"561","3",52,60,60
2016,"561","4",28,35,25
2016,"57","1",71,170,170
2016,"57","2",73,190,190
2016,"57","3",100,190,190
2016,"57","4",81,170,170
2016,"58","1",86,0,0
2016,"58","2",96,0,0
2016,"58","3",89,0,0
2016,"58","4",91,0,0
2016,"581","1",75,0,0
2016,"581","2",403,0,0
2016,"581","3",380,0,0
2016,"581","4",100,0,0
2016,"59","1",57,150,150
2016,"59","2",96,150,81
2016,"59","3",127,150,81
2016,"59","4",62,330,143
2016,"591","2",81,0,0
2016,"591","3",91,0,0
2016,"6","1",736,2250,1164
2016,"6","2",1027,1580,650
2016,"6","3",574,225,131
2016,"6","4",165,210,120
2016,"60","1",48,55,40
2016,"60","2",67,10,10
2016,"60","3",97,20,6
2016,"60","4",48,70,56
2016,"61","1",178,190,190
2016,"61","2",261,360,285
2016,"61","3",237,380,305
2016,"61","4",225,405,330
2016,"62","1",340,375,375
2016,"62","2",1539,150,150
2016,"62","3",962,150,137
2016,"62","4",98,250,237
2016,"63","1",127,0,0
2016,"63","2",326,125,125
2016,"63","3",200,75,75
2016,"63","4",51,65,18
2016,"64","1",132,580,489
2016,"64","2",226,300,145
2016,"64","3",217,360,128
2016,"64","4",37,435,203
2016,"65","1",417,0,0
2016,"65","2",654,0,0
2016,"65","3",521,0,0
2016,"65","4",111,0,0
2016,"66","1",388,450,450
2016,"66","2",377,425,425
2016,"66","3",323,355,355
2016,"66","4",154,185,185
2016,"67","1",366,390,390
2016,"67","2",370,430,430
2016,"67","3",332,345,345
2016,"67","4",243,270,270
2016,"68","1",266,375,375
2016,"68","2",579,210,210
2016,"68","3",579,230,230
2016,"68","4",196,230,186
2016,"681","1",99,0,0
2016,"681","2",397,160,136
2016,"681","3",348,125,125
2016,"681","4",89,50,39
2016,"69","1",26,75,75
2016,"69","2",127,280,280
2016,"69","3",94,140,140
2016,"69","4",20,100,100
2016,"691","2",39,0,0
2016,"691","3",25,0,0
2016,"7","1",167,300,300
2016,"7","2",504,1750,838
2016,"7","3",287,1750,838
2016,"7","4",88,1750,838
2016,"70","1",351,400,400
2016,"70","2",968,330,326
2016,"70","3",970,240,240
2016,"70","4",215,240,130
2016,"71","1",474,885,885
2016,"71","2",850,195,132
2016,"71","3",636,195,132
2016,"71","4",40,385,322
2016,"711","1",207,0,0
2016,"711","2",441,170,48
2016,"711","3",928,170,48
2016,"711","4",196,105,105
2016,"72","1",39,0,0
2016,"72","2",147,50,27
2016,"72","3",154,50,27
2016,"72","4",27,50,27
2016,"73","1",133,0,0
2016,"73","2",212,40,21
2016,"73","3",222,40,21
2016,"73","4",38,40,21
2016,"74","1",292,325,325
2016,"74","2",555,125,76
2016,"74","3",314,125,76
2016,"74","4",59,185,103
2016,"741","1",22,0,0
2016,"741","2",84,70,26
2016,"741","3",101,70,26
2016,"741","4",16,70,26
2016,"75","1",420,650,650
2016,"75","2",371,450,138
2016,"75","3",474,450,138
2016,"75","4",93,530,218
2016,"751","1",205,0,0
2016,"751","2",203,0,0
2016,"751","3",330,0,0
2016,"751","4",59,0,0
2016,"76","1",186,190,190
2016,"76","2",251,260,260
2016,"76","3",188,210,210
2016,"76","4",168,190,190
2016,"77","1",333,750,750
2016,"77","2",796,125,125
2016,"77","3",886,70,70
2016,"77","4",78,130,130
2016,"771","1",43,0,0
2016,"771","2",143,0,0
2016,"771","3",278,0,0
2016,"771","4",14,0,0
2016,"78","1",309,0,0
2016,"78","2",713,0,0
2016,"78","3",727,0,0
2016,"78","4",54,0,0
2016,"79","1",171,215,138
2016,"79","2",180,200,143
2016,"79","3",146,175,175
2016,"79","4",57,100,36
2016,"8","1",122,0,0
2016,"8","2",509,0,0
2016,"8","3",257,0,0
2016,"8","4",88,0,0
2016,"80","1",425,850,850
2016,"80","2",879,5,5
2016,"80","3",533,5,5
2016,"80","4",225,265,221
2016,"81","1",368,0,0
2016,"81","2",927,5,5
2016,"81","3",593,5,5
2016,"81","4",212,225,186
2016,"82","1",240,325,301
2016,"82","2",505,200,96
2016,"82","3",492,200,110
2016,"82","4",98,115,106
2016,"83","2",266,0,0
2016,"83","3",473,0,0
2016,"84","1",44,0,0
2016,"84","2",141,0,0
2016,"84","3",49,0,0
2016,"84","4",71,0,0
2016,"85","1",71,100,100
2016,"85","2",585,40,40
2016,"85","3",497,40,40
2016,"85","4",144,190,177
2016,"851","1",8,5,5
2016,"851","2",103,5,5
2016,"851","3",108,10,10
2016,"851","4",25,5,5
2016,"86","1",87,150,150
2016,"86","2",528,400,200
2016,"86","3",377,400,200
2016,"86","4",100,490,268
2016,"861","1",49,0,0
2016,"861","2",129,0,0
2016,"861","3",76,0,0
2016,"861","4",20,0,0
2016,"9","1",11,50,10
2016,"9","2",20,120,19
2016,"9","3",12,120,19
2016,"9","4",9,120,19
2017,"1","1",5,10,10
2017,"1","2",19,25,9
2017,"1","3",9,20,8
2017,"1","4",16,25,18
2017,"10","1",54,65,65
2017,"10","2",63,70,70
2017,"10","3",59,75,75
2017,"10","4",76,85,85
2017,"104","1",16,30,16
2017,"104","2",8,85,4
2017,"104","3",6,85,4
2017,"104","4",4,85,4
2017,"11","1",946,7500,5464
2017,"11","2",583,500,163
2017,"11","3",1027,800,383
2017,"11","4",921,2120,779
2017,"12","1",1407,0,0
2017,"12","2",1514,3000,957
2017,"12","3",1024,3000,957
2017,"12","4",493,500,417
2017,"13","1",232,0,0
2017,"13","2",430,500,54
2017,"13","3",522,500,54
2017,"13","4",241,500,54
2017,"131","1",148,0,0
2017,"131","2",249,250,34
2017,"131","3",150,250,34
2017,"131","4",62,310,41
2017,"133","2",16,0,0
2017,"133","3",8,0,0
2017,"133","4",3,30,30
2017,"134","2",8,0,0
2017,"134","3",13,0,0
2017,"14","1",255,250,250
2017,"14","2",642,250,138
2017,"14","3",291,250,138
2017,"14","4",89,325,186
2017,"140","1",7,0,0
2017,"140","2",51,0,0
2017,"140","3",39,0,0
2017,"140","4",27,0,0
2017,"141","2",20,0,0
2017,"141","3",13,0,0
2017,"142","2",34,0,0
2017,"142","3",71,0,0
2017,"142","4",21,0,0
2017,"15","1",422,475,366
2017,"15","2",1112,1200,357
2017,"15","3",1082,1200,357
2017,"15","4",219,1350,507
2017,"16","1",221,0,0
2017,"16","2",397,0,0
2017,"16","3",271,160,32
2017,"16","4",112,155,49
2017,"161","1",437,0,0
2017,"161","2",566,0,0
2017,"161","3",494,260,95
2017,"161","4",214,250,134
2017,"17","1",257,0,0
2017,"17","2",505,0,0
2017,"17","3",510,340,160
2017,"17","4",175,250,78
2017,"171","1",326,0,0
2017,"171","2",418,0,0
2017,"171","3",335,0,0
2017,"171","4",111,60,31
2017,"18","1",1025,1320,913
2017,"18","2",962,485,361
2017,"18","3",1119,610,418
2017,"18","4",934,1550,345
2017,"181","1",159,0,0
2017,"181","2",320,160,67
2017,"181","3",316,205,44
2017,"181","4",320,235,7
2017,"19","1",94,110,110
2017,"19","2",314,770,236
2017,"19","3",220,770,236
2017,"19","4",95,770,236
2017,"191","1",39,50,50
2017,"191","2",149,490,80
2017,"191","3",135,490,80
2017,"191","4",116,490,80
2017,"2","1",20,30,30
2017,"2","2",20,25,25
2017,"2","3",31,35,35
2017,"2","4",21,25,25
2017,"20","1",19,20,20
2017,"20","2",44,50,50
2017,"20","3",38,40,40
2017,"20","4",32,40,40
2017,"201","1",30,30,30
2017,"201","2",51,55,55
2017,"201","3",30,30,30
2017,"201","4",37,40,40
2017,"21","1",322,1000,660
2017,"21","2",583,350,223
2017,"21","3",588,350,244
2017,"21","4",173,535,277
2017,"211","1",192,0,0
2017,"211","2",584,0,0
2017,"211","3",795,0,0
2017,"211","4",473,0,0
2017,"214","1",62,0,0
2017,"214","2",493,600,112
2017,"214","3",206,600,112
2017,"214","4",74,650,133
2017,"22","1",253,0,0
2017,"22","2",660,400,181
2017,"22","3",791,400,181
2017,"22","4",155,100,75
2017,"23","1",845,0,0
2017,"23","2",1177,0,0
2017,"23","3",1115,0,0
2017,"23","4",446,0,0
2017,"231","1",511,0,0
2017,"231","2",423,250,165
2017,"231","3",159,250,165
2017,"231","4",59,310,178
2017,"24","1",1131,0,0
2017,"24","2",1099,0,0
2017,"24","3",571,0,0
2017,"24","4",262,0,0
2017,"25","1",262,0,0
2017,"25","2",439,200,102
2017,"25","3",337,200,102
2017,"25","4",33,240,130
2017,"26","1",219,0,0
2017,"26","2",308,0,0
2017,"26","3",267,0,0
2017,"26","4",79,100,39
2017,"27","1",164,190,127
2017,"27","2",516,260,124
2017,"27","3",329,185,40
2017,"27","4",110,135,41
2017,"28","1",553,820,820
2017,"28","2",892,390,390
2017,"28","3",972,630,508
2017,"28","4",635,1135,375
2017,"29","1",18,20,20
2017,"29","2",25,85,25
2017,"29","3",34,85,25
2017,"29","4",22,85,25
2017,"3","1",294,2000,2000
2017,"3","2",481,1100,190
2017,"3","3",1150,1100,190
2017,"3","4",860,1450,888
2017,"30","1",65,0,0
2017,"30","2",267,0,0
2017,"30","3",310,0,0
2017,"30","4",226,0,0
2017,"301","1",94,0,0
2017,"301","2",253,0,0
2017,"301","3",652,0,0
2017,"301","4",405,0,0
2017,"31","1",122,0,0
2017,"31","2",317,500,37
2017,"31","3",403,500,37
2017,"31","4",172,500,37
2017,"32","1",120,0,0
2017,"32","2",231,300,10
2017,"32","3",138,300,10
2017,"32","4",76,300,10
2017,"33","1",645,0,0
2017,"33","2",934,950,206
2017,"33","3",607,950,206
2017,"33","4",199,1065,239
2017,"34","1",309,0,0
2017,"34","2",341,200,112
2017,"34","3",169,200,112
2017,"34","4",42,235,126
2017,"35","1",131,335,335
2017,"35","2",373,145,82
2017,"35","3",323,145,82
2017,"35","4",47,185,122
2017,"36","1",134,0,0
2017,"36","2",474,225,124
2017,"36","3",360,225,124
2017,"36","4",24,265,164
2017,"361","1",19,0,0
2017,"361","2",100,0,0
2017,"361","3",105,0,0
2017,"361","4",22,0,0
2017,"37","1",183,0,0
2017,"37","2",408,0,0
2017,"37","3",507,0,0
2017,"37","4",345,0,0
2017,"371","1",234,270,198
2017,"371","2",245,130,49
2017,"371","3",262,155,29
2017,"371","4",167,280,50
2017,"38","1",47,55,55
2017,"38","2",226,60,34
2017,"38","3",209,60,34
2017,"38","4",34,90,64
2017,"39","1",62,70,70
2017,"39","2",76,110,79
2017,"39","3",67,110,79
2017,"39","4",18,80,49
2017,"391","1",14,60,10
2017,"391","2",2,60,10
2017,"391","3",9,60,10
2017,"391","4",13,60,10
2017,"4","1",862,0,0
2017,"4","2",1344,800,500
2017,"4","3",1099,800,500
2017,"4","4",554,350,168
2017,"40","1",61,64,64
2017,"40","2",54,57,57
2017,"40","3",52,57,57
2017,"40","4",47,56,56
2017,"41","1",285,1850,1850
2017,"41","2",502,600,133
2017,"41","3",436,600,133
2017,"41","4",239,1000,299
2017,"411","1",98,0,0
2017,"411","2",235,100,37
2017,"411","3",190,100,30
2017,"411","4",34,100,30
2017,"42","1",323,0,0
2017,"42","2",1207,650,276
2017,"42","3",1117,900,183
2017,"42","4",245,900,183
2017,"421","1",402,0,0
2017,"421","2",1093,850,299
2017,"421","3",633,850,299
2017,"421","4",140,850,299
2017,"43","1",231,260,260
2017,"43","2",810,710,250
2017,"43","3",641,710,250
2017,"43","4",166,785,325
2017,"44","1",104,300,300
2017,"44","2",263,40,26
2017,"44","3",293,40,26
2017,"44","4",10,50,36
2017,"441","1",255,0,0
2017,"441","2",490,0,0
2017,"441","3",319,0,0
2017,"441","4",200,0,0
2017,"444","1",58,0,0
2017,"444","2",431,205,118
2017,"444","3",280,205,118
2017,"444","4",74,275,183
2017,"45","1",106,0,0
2017,"45","2",289,50,26
2017,"45","3",229,50,26
2017,"45","4",9,60,36
2017,"46","1",37,45,45
2017,"46","2",58,120,65
2017,"46","3",39,120,65
2017,"46","4",9,120,65
2017,"461","1",9,75,9
2017,"461","2",11,75,9
2017,"461","3",17,75,9
2017,"461","4",12,75,9
2017,"47","1",32,0,0
2017,"47","2",212,110,68
2017,"47","3",156,110,68
2017,"47","4",35,140,98
2017,"471","1",28,0,0
2017,"471","2",62,55,8
2017,"471","3",28,55,8
2017,"471","4",18,80,9
2017,"48","1",68,70,70
2017,"48","2",119,190,130
2017,"48","3",37,190,130
2017,"48","4",50,140,112
2017,"481","1",65,70,70
2017,"481","2",200,375,203
2017,"481","3",125,375,203
2017,"481","4",30,375,203
2017,"49","1",72,80,80
2017,"49","2",254,250,214
2017,"49","3",158,250,214
2017,"49","4",141,250,214
2017,"5","1",305,0,0
2017,"5","2",553,100,76
2017,"5","3",217,100,76
2017,"5","4",68,10,10
2017,"50","1",47,50,50
2017,"50","2",198,600,217
2017,"50","3",206,600,217
2017,"50","4",121,600,217
2017,"500","1",85,100,100
2017,"500","2",249,480,265
2017,"500","3",166,480,265
2017,"500","4",29,480,265
2017,"501","1",34,35,35
2017,"501","2",127,320,139
2017,"501","3",119,320,139
2017,"501","4",36,320,139
2017,"51","1",44,70,70
2017,"51","2",91,200,96
2017,"51","3",49,200,96
2017,"51","4",26,200,96
2017,"511","1",95,105,105
2017,"511","2",351,100,54
2017,"511","3",373,100,54
2017,"511","4",83,200,102
2017,"52","1",154,0,0
2017,"52","2",519,325,127
2017,"52","3",313,225,101
2017,"52","4",66,225,101
2017,"521","1",576,0,0
2017,"521","2",1021,375,192
2017,"521","3",500,375,192
2017,"521","4",132,375,192
2017,"53","1",303,425,425
2017,"53","2",497,100,100
2017,"53","3",291,100,67
2017,"53","4",62,75,37
2017,"54","1",316,350,325
2017,"54","2",756,120,120
2017,"54","3",620,70,70
2017,"54","4",167,200,163
2017,"55","1",481,540,540
2017,"55","2",1000,245,245
2017,"55","3",1068,300,300
2017,"55","4",129,150,150
2017,"551","1",158,170,170
2017,"551","2",558,195,195
2017,"551","3",649,200,200
2017,"551","4",57,60,60
2017,"56","1",47,50,50
2017,"56","2",96,105,105
2017,"56","3",105,105,105
2017,"56","4",49,55,55
2017,"561","1",30,30,30
2017,"561","2",56,60,60
2017,"561","3",55,60,60
2017,"561","4",27,35,19
2017,"57","1",111,180,180
2017,"57","2",106,200,200
2017,"57","3",118,200,200
2017,"57","4",92,180,180
2017,"58","1",78,0,0
2017,"58","2",85,0,0
2017,"58","3",104,0,0
2017,"58","4",100,0,0
2017,"581","1",80,0,0
2017,"581","2",359,0,0
2017,"581","3",374,0,0
2017,"581","4",105,0,0
2017,"59","1",50,150,150
2017,"59","2",115,150,89
2017,"59","3",99,150,89
2017,"59","4",59,330,141
2017,"591","2",8,0,0
2017,"591","3",98,0,0
2017,"6","1",778,2275,1150
2017,"6","2",847,1580,552
2017,"6","3",559,225,139
2017,"6","4",180,210,117
2017,"60","1",50,55,46
2017,"60","2",86,10,10
2017,"60","3",96,20,6
2017,"60","4",49,70,56
2017,"61","1",174,180,180
2017,"61","2",263,350,283
2017,"61","3",213,370,303
2017,"61","4",227,395,328
2017,"62","1",313,345,345
2017,"62","2",1564,100,100
2017,"62","3",987,100,92
2017,"62","4",101,200,192
2017,"63","1",122,0,0
2017,"63","2",312,125,125
2017,"63","3",199,75,75
2017,"63","4",61,65,43
2017,"64","1",144,580,481
2017,"64","2",232,300,145
2017,"64","3",199,360,131
2017,"64","4",43,435,206
2017,"65","1",410,0,0
2017,"65","2",632,0,0
2017,"65","3",502,0,0
2017,"65","4",108,0,0
2017,"66","1",370,430,430
2017,"66","2",372,400,400
2017,"66","3",297,325,325
2017,"66","4",150,165,165
2017,"67","1",338,375,375
2017,"67","2",364,405,405
2017,"67","3",294,315,315
2017,"67","4",220,240,240
2017,"68","1",225,375,330
2017,"68","2",631,210,210
2017,"68","3",639,230,230
2017,"68","4",156,230,179
2017,"681","1",138,0,0
2017,"681","2",388,160,141
2017,"681","3",322,125,125
2017,"681","4",92,50,36
2017,"69","1",30,75,75
2017,"69","2",134,280,280
2017,"69","3",92,140,140
2017,"69","4",38,100,100
2017,"691","2",27,0,0
2017,"691","3",22,0,0
2017,"691","4",5,0,0
2017,"7","1",200,300,300
2017,"7","2",368,1825,826
2017,"7","3",312,1825,826
2017,"7","4",72,1825,826
2017,"70","1",363,400,400
2017,"70","2",907,330,281
2017,"70","3",897,240,240
2017,"70","4",220,240,133
2017,"71","1",570,885,885
2017,"71","2",793,90,39
2017,"71","3",631,90,39
2017,"71","4",36,280,229
2017,"711","1",222,0,0
2017,"711","2",398,90,14
2017,"711","3",808,90,14
2017,"711","4",172,70,70
2017,"72","1",70,0,0
2017,"72","2",109,50,20
2017,"72","3",178,50,20
2017,"72","4",23,50,20
2017,"73","1",109,0,0
2017,"73","2",193,15,11
2017,"73","3",246,15,11
2017,"73","4",17,15,11
2017,"74","1",245,275,275
2017,"74","2",600,75,45
2017,"74","3",301,75,45
2017,"74","4",53,135,97
2017,"741","1",9,0,0
2017,"741","2",97,50,18
2017,"741","3",89,50,18
2017,"741","4",3,50,18
2017,"75","1",367,600,600
2017,"75","2",373,225,62
2017,"75","3",432,225,62
2017,"75","4",66,305,142
2017,"751","1",185,0,0
2017,"751","2",342,0,0
2017,"751","3",334,0,0
2017,"751","4",64,0,0
2017,"76","1",177,190,190
2017,"76","2",244,260,260
2017,"76","3",195,210,210
2017,"76","4",178,190,190
2017,"77","1",428,750,750
2017,"77","2",866,125,125
2017,"77","3",953,70,70
2017,"77","4",75,130,130
2017,"771","1",6,0,0
2017,"771","2",163,0,0
2017,"771","3",306,0,0
2017,"771","4",22,0,0
2017,"78","1",244,0,0
2017,"78","2",769,0,0
2017,"78","3",754,0,0
2017,"78","4",43,0,0
2017,"79","1",178,215,124
2017,"79","2",168,200,186
2017,"79","3",154,175,175
2017,"79","4",88,100,49
2017,"8","1",110,0,0
2017,"8","2",578,0,0
2017,"8","3",339,0,0
2017,"8","4",105,0,0
2017,"80","1",321,600,600
2017,"80","2",911,60,60
2017,"80","3",767,70,70
2017,"80","4",80,110,110
2017,"81","1",288,0,0
2017,"81","2",966,60,60
2017,"81","3",714,70,70
2017,"81","4",74,70,70
2017,"82","1",280,325,308
2017,"82","2",426,200,101
2017,"82","3",496,200,102
2017,"82","4",97,115,108
2017,"83","1",7,0,0
2017,"83","2",257,0,0
2017,"83","3",444,0,0
2017,"84","1",43,0,0
2017,"84","2",177,0,0
2017,"84","3",72,0,0
2017,"84","4",44,0,0
2017,"85","1",77,100,100
2017,"85","2",664,40,40
2017,"85","3",449,40,40
2017,"85","4",141,190,177
2017,"851","1",5,5,5
2017,"851","2",91,5,5
2017,"851","3",123,10,10
2017,"851","4",31,5,5
2017,"86","1",85,150,150
2017,"86","2",526,400,183
2017,"86","3",371,400,183
2017,"86","4",78,490,273
2017,"861","1",55,0,0
2017,"861","2",165,0,0
2017,"861","3",113,0,0
2017,"861","4",26,0,0
2017,"9","1",16,50,22
2017,"9","2",24,120,21
2017,"9","3",14,120,21
2017,"9","4",10,120,21
